cname,sname,cont,body,fwater,imgurl
Sauger,Sander canadensis,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/sauger.png
"Seabass, Blackfin",Lateolabrax latus,5,3,n,https://www.igfa.org/Images/SpeciesID_Images/seabass_blackfin.png
"Seabass, Japanese (Suzuki)",Lateolabrax japonicus,5,3,n,https://www.igfa.org/Images/SpeciesID_Images/seabass_japanese.png
"Seabass, White",Atractoscion nobilis,1,3,n,https://www.igfa.org/Images/SpeciesID_Images/seabass_white.png
"Seabream, Gilthead",Sparus aurata,4,2,n,"https://www.igfa.org/Images/SpeciesID_Images/BWSeabream,%20gilthead.png"
"Seatrout, Spotted",Cynoscion nebulosus,1,3,n,https://www.igfa.org/Images/SpeciesID_Images/seatrout_spotted.png
"Shad, American",Alosa sapidissima,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/shad_american.png
"Shad, Hickory",Alosa mediocris,1,3,b,https://www.igfa.org/Images/SpeciesID_Images/BWShad.png
Sharkm Blacktip,Carcharhinus limbatus,1 2 3 4 5 6,4,n,https://www.igfa.org/Images/SpeciesID_Images/shark_blacktip.png
"Shark, Blue",Prionace glauca,1 2 3 4 5 6 7,4,n,https://www.igfa.org/Images/SpeciesID_Images/shark_blue.png
"Shark, Bonnethead",Sphyrna tiburo,1 2,4,n,https://www.igfa.org/Images/SpeciesID_Images/shark_bonnethead.png
"Shark, Great Hammerhead",Sphyrna mokarran,1 2 3 4 5 6 7,4,n,https://www.igfa.org/Images/SpeciesID_Images/Shark_hammerhead.png
"Shark, Mako",Isurus spp.,1 2 3 4 5 6,4,n,https://www.igfa.org/Images/SpeciesID_Images/shark_mako.png
"Shark, Porbeagle",Lamna nasus,1 4,4,n,"https://www.igfa.org/Images/SpeciesID_Images/BWShark,%20porbeagle.png"
"Shark, Thresher",Alopias spp.,1 4 5,4,n,https://www.igfa.org/Images/SpeciesID_Images/shark_thresher.png
"Shark, Tiger",Galeocerdo cuvier,1 2 3 4 5 6,4,n,https://www.igfa.org/Images/SpeciesID_Images/shark_tiger.png
"Shark, Tope",Galeorhinus galeus,1 2 3 4 5 6,4,n,"https://www.igfa.org/Images/SpeciesID_Images/BWShark,%20tope.png"
"Shark, Whaler",Carcharhinidae family,1 2 3 4 5 6 7,4,n,https://www.igfa.org/Images/SpeciesID_Images/BWShark_whaler.png
"Shark, Great White",Carcharodon carcharias,1 4 5 6,4,n,https://www.igfa.org/Images/SpeciesID_Images/shark_white.png
"Skipjack, Black",Euthynnus lineatus,1 2,3,n,https://www.igfa.org/Images/SpeciesID_Images/skipjack_black.png
Snakehead,Channa spp.,1 5 6,3,b,https://www.igfa.org/Images/SpeciesID_Images/BWSnakehead.png
